teks_bersih,kategori,instansi,urgensi
petugas kebersihan sudah lama tidak bertugas di wilayah kami tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
data kependudukan kami masih salah setelah berkali kali melapor harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
jalan di depan rumah saya berlubang kecil sudah sebulan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,biasa
rambu lalu lintas di persimpangan sudah pudar tidak terbaca,infrastruktur,Dinas Pekerjaan Umum,biasa
halte bus di jalan raya sudah rusak atapnya bocor,infrastruktur,Dinas Pekerjaan Umum,biasa
truk sampah tidak pernah datang ke RT kami sudah dua minggu kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,urgen
sertifikat tanah saya tidak kunjung selesai sudah setahun menunggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada premanisme di pasar yang meresahkan pedagang dan pembeli sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
pengelolaan sampah di pasar tradisional sangat buruk mengundang tikus sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
drainase di depan pasar tidak berfungsi menyebabkan genangan air kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,urgen
ada oknum yang menarik pungutan liar di terminal angkutan umum kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
perawat di puskesmas tidak ramah kepada pasien lanjut usia,kesehatan,Dinas Kesehatan,biasa
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
lampu traffic light di perempatan tidak berfungsi rawan kecelakaan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
got di depan gang tersumbat air meluap ke jalan saat hujan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
pengajuan beasiswa tidak diproses meskipun sudah memenuhi semua syarat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
ada bangunan yang melanggar IMB dibiarkan terus dibangun harap segera diselesaikan,keamanan,Satuan Polisi Pamong Praja,biasa
akta kelahiran anak saya belum bisa dibuat karena persyaratan berbelit,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
tempat sampah di taman kota sudah rusak dan tidak diganti tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
parkir liar di depan toko menghalangi akses pejalan kaki mohon segera ditangani,keamanan,Satuan Polisi Pamong Praja,biasa
ijazah anak saya ditahan sekolah karena masalah administrasi pembayaran tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
sungai tercemar limbah kimia banyak ikan mati warga tidak bisa mandi,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
ibu hamil di desa kami kesulitan akses ke bidan jarak sangat jauh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada kasus keracunan massal di kantin sekolah banyak anak dilarikan ke RS mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
sampah medis dibuang sembarangan di dekat pemukiman berbahaya harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
maling motor masuk ke perumahan kami sudah beberapa kali kejadian,keamanan,Satuan Polisi Pamong Praja,urgen
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
dokter di puskesmas sering tidak hadir padahal sudah ada jadwal mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
data kependudukan kami masih salah setelah berkali kali melapor harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
penggunaan narkoba di kalangan remaja di lingkungan kami sangat meresahkan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
pohon tumbang di jalan raya menghalangi lalu lintas harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,urgen
got di depan gang tersumbat air meluap ke jalan saat hujan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
halo pemda ini hanya mau bilang lingkungan kami sudah bersih terima kasih harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
perizinan usaha kecil saya dipersulit padahal sudah lengkap syaratnya kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
perawat di puskesmas tidak ramah kepada pasien lanjut usia,kesehatan,Dinas Kesehatan,biasa
pak wali kota ganteng sekali orangnya baik harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
ada premanisme di pasar yang meresahkan pedagang dan pembeli sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
data kependudukan kami masih salah setelah berkali kali melapor harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
sertifikat tanah saya tidak kunjung selesai sudah setahun menunggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
tps di dekat perumahan kami meluber sampah berserakan ke jalan kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
penggunaan narkoba di kalangan remaja di lingkungan kami sangat meresahkan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
di RT kami sering terjadi pencurian kendaraan bermotor malam hari,keamanan,Satuan Polisi Pamong Praja,urgen
rel kereta api di pinggir jalan tidak ada pagar pengaman berbahaya mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
gorong gorong di bawah jalan rusak menyebabkan jalan amblas,infrastruktur,Dinas Pekerjaan Umum,urgen
pengajuan beasiswa tidak diproses meskipun sudah memenuhi semua syarat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
penerangan jalan sangat minim sehingga rawan kriminalitas malam hari sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
sertifikat tanah saya tidak kunjung selesai sudah setahun menunggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
akta kelahiran anak saya belum bisa dibuat karena persyaratan berbelit,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada warga yang buang sampah sembarangan di pinggir jalan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
pengelolaan sampah di pasar tradisional sangat buruk mengundang tikus sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
wabah kolera menyebar di desa kami sudah ada korban meninggal sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,sangat_urgen
pembunuhan terjadi di kampung kami pelaku masih bebas warga ketakutan sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
sampah medis dibuang sembarangan di dekat pemukiman berbahaya harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
halte bus di jalan raya sudah rusak atapnya bocor,infrastruktur,Dinas Pekerjaan Umum,biasa
ambulans desa rusak tidak bisa digunakan membawa pasien gawat darurat tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,sangat_urgen
petugas kebersihan sudah lama tidak bertugas di wilayah kami tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
saluran irigasi di sawah kami rusak mengancam gagal panen sudah lama tidak ada tindakan,infrastruktur,Dinas Pekerjaan Umum,urgen
truk sampah tidak pernah datang ke RT kami sudah dua minggu kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,urgen
warga membakar sampah sembarangan asap mengganggu pernapasan anak anak harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
fasilitas kamar rawat inap di rumah sakit daerah tidak cukup selalu penuh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
aspal jalan kabupaten mengelupas di beberapa titik tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
selokan di depan rumah dipenuhi sampah plastik menyebabkan banjir sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
pengelolaan sampah di pasar tradisional sangat buruk mengundang tikus sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
warga membakar sampah sembarangan asap mengganggu pernapasan anak anak harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
lingkungan RT kami kotor karena tidak ada fasilitas tempat sampah tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
tempat sampah di taman kota sudah rusak dan tidak diganti tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
got besar di pinggir jalan dipenuhi sampah dan lumpur menimbulkan bau harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,biasa
limbah pabrik dibuang ke sungai mencemari sumber air minum warga kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
petugas kelurahan tidak ada di tempat saat jam kerja,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
penerangan jalan sangat minim sehingga rawan kriminalitas malam hari sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
wabah kolera menyebar di desa kami sudah ada korban meninggal sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,sangat_urgen
lingkungan RT kami kotor karena tidak ada fasilitas tempat sampah tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
pohon tumbang di jalan raya menghalangi lalu lintas harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,urgen
obat di puskesmas sering habis pasien harus beli sendiri kami sangat terganggu,kesehatan,Dinas Kesehatan,urgen
sampah menumpuk di depan pasar sudah seminggu tidak diangkut,kebersihan,Dinas Lingkungan Hidup,biasa
pembuatan akta nikah dipersulit dan dimintai biaya tambahan tidak resmi mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
sampah menumpuk di depan pasar sudah seminggu tidak diangkut,kebersihan,Dinas Lingkungan Hidup,biasa
puskesmas pembantu di desa kami tutup tidak ada tenaga kesehatan mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pengelolaan sampah di pasar tradisional sangat buruk mengundang tikus sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
pencemaran air sumur warga akibat limbah industri banyak yang keracunan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
pohon tumbang di jalan raya menghalangi lalu lintas harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,urgen
lampu jalan di kawasan perumahan mati sudah dua minggu,infrastruktur,Dinas Pekerjaan Umum,urgen
air sungai berubah warna hitam berbau busuk diduga tercemar limbah berbahaya mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
selokan di depan rumah dipenuhi sampah plastik menyebabkan banjir sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
pengelolaan sampah di pasar tradisional sangat buruk mengundang tikus sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
program bantuan sosial tidak tepat sasaran banyak warga mampu yang dapat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pejabat desa tidak transparan dalam pengelolaan dana desa mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
antrian di puskesmas sangat panjang tidak ada yang mengatur mohon segera ditangani,kesehatan,Dinas Kesehatan,biasa
klinik kesehatan di desa tidak memiliki dokter tetap sudah lama mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
sering ada pembegalan di jalan gelap menuju desa tidak ada patroli,keamanan,Satuan Polisi Pamong Praja,urgen
ada warga yang buang sampah sembarangan di pinggir jalan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
pohon tumbang di jalan raya menghalangi lalu lintas harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,urgen
pak wali kota ganteng sekali orangnya baik harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
terima kasih pemerintah sudah memperbaiki jalan di depan rumah kami harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
tiang listrik hampir roboh di pinggir jalan rawan menimpa warga,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
ijazah anak saya ditahan sekolah karena masalah administrasi pembayaran tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
ada bangunan yang melanggar IMB dibiarkan terus dibangun harap segera diselesaikan,keamanan,Satuan Polisi Pamong Praja,biasa
puskesmas pembantu di desa kami tutup tidak ada tenaga kesehatan mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
terima kasih pemerintah sudah memperbaiki jalan di depan rumah kami harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
tempat sampah di taman kota sudah rusak dan tidak diganti tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
truk sampah tidak pernah datang ke RT kami sudah dua minggu kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,urgen
kartu keluarga masih salah data sudah lapor berkali kali tapi belum diperbaiki kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
air sungai berubah warna hitam berbau busuk diduga tercemar limbah berbahaya mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
jembatan penghubung desa kami retak parah hampir putus kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
jalan alternatif menuju desa kami tidak bisa dilalui saat hujan deras tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
jalan alternatif menuju desa kami tidak bisa dilalui saat hujan deras tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
akta kelahiran anak saya belum bisa dibuat karena persyaratan berbelit,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
klinik kesehatan di desa tidak memiliki dokter tetap sudah lama mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
lampu jalan di kawasan perumahan mati sudah dua minggu,infrastruktur,Dinas Pekerjaan Umum,urgen
lampu traffic light di perempatan tidak berfungsi rawan kecelakaan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
jembatan penghubung desa kami retak parah hampir putus kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
KTP saya sudah empat bulan belum jadi padahal sudah lengkap syaratnya tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
drainase di depan pasar tidak berfungsi menyebabkan genangan air kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,urgen
lampu traffic light di perempatan tidak berfungsi rawan kecelakaan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
tumpukan sampah di lahan kosong dibiarkan berbulan bulan sarang nyamuk harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
selokan di depan rumah dipenuhi sampah plastik menyebabkan banjir sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
lingkungan RT kami kotor karena tidak ada fasilitas tempat sampah tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
pejabat desa tidak transparan dalam pengelolaan dana desa mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
air sungai berubah warna hitam berbau busuk diduga tercemar limbah berbahaya mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
jalan utama amblas total tidak bisa dilalui kendaraan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
puskesmas pembantu di desa kami tutup tidak ada tenaga kesehatan mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
tiang listrik hampir roboh di pinggir jalan rawan menimpa warga,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
lingkungan RT kami kotor karena tidak ada fasilitas tempat sampah tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
klinik kesehatan di desa tidak memiliki dokter tetap sudah lama mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada pengedar narkoba beroperasi terang terangan di dekat sekolah sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
lampu traffic light di perempatan tidak berfungsi rawan kecelakaan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
rel kereta api di pinggir jalan tidak ada pagar pengaman berbahaya mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
SKTM untuk keperluan sekolah tidak bisa didapatkan dipersulit harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
penerangan jalan sangat minim sehingga rawan kriminalitas malam hari sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
posyandu di desa kami tidak aktif sudah tiga bulan sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,biasa
perizinan usaha kecil saya dipersulit padahal sudah lengkap syaratnya kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
penggunaan narkoba di kalangan remaja di lingkungan kami sangat meresahkan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
keributan di tempat hiburan malam mengganggu warga sekitar setiap malam,keamanan,Satuan Polisi Pamong Praja,urgen
got di depan gang tersumbat air meluap ke jalan saat hujan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
dokter di puskesmas sering tidak hadir padahal sudah ada jadwal mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pak wali kota ganteng sekali orangnya baik harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
drainase di depan pasar tidak berfungsi menyebabkan genangan air kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,urgen
halo pemda ini hanya mau bilang lingkungan kami sudah bersih terima kasih harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
ada oknum yang menarik pungutan liar di terminal angkutan umum kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
jalan di depan rumah saya berlubang kecil sudah sebulan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,biasa
sertifikat tanah saya tidak kunjung selesai sudah setahun menunggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
jalan masuk kampung kami belum diaspal masih tanah berlumpur mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,urgen
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
sering ada pembegalan di jalan gelap menuju desa tidak ada patroli,keamanan,Satuan Polisi Pamong Praja,urgen
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
parkir liar di depan toko menghalangi akses pejalan kaki mohon segera ditangani,keamanan,Satuan Polisi Pamong Praja,biasa
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
pak wali kota ganteng sekali orangnya baik harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
pelayanan di kantor kecamatan sangat lama bisa menunggu sampai sore sudah lama tidak ada tindakan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
tumpukan sampah di lahan kosong dibiarkan berbulan bulan sarang nyamuk harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
kartu BPJS tidak aktif padahal iuran selalu dibayar tepat waktu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pengajuan beasiswa tidak diproses meskipun sudah memenuhi semua syarat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada kasus gizi buruk parah pada balita di desa kami butuh bantuan segera harap segera diselesaikan,kesehatan,Dinas Kesehatan,sangat_urgen
saluran irigasi di sawah kami rusak mengancam gagal panen sudah lama tidak ada tindakan,infrastruktur,Dinas Pekerjaan Umum,urgen
drainase di depan pasar tidak berfungsi menyebabkan genangan air kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,urgen
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
perawat di puskesmas tidak ramah kepada pasien lanjut usia,kesehatan,Dinas Kesehatan,biasa
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
