teks_bersih,kategori,urgensi,instansi
urus izin usaha kecil dipersulit minta biaya yang ga jelas,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor lampu taman di alun alun beberapa yang mati udah lama nih,infrastruktur,biasa,Dinas Pekerjaan Umum
mbak pengamen sering minta uang paksa di warung warung udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
halo pemda pasar tradisional sampahnya numpuk bau amis kemana mana mohon ditindak,kebersihan,urgen,Dinas Lingkungan Hidup
kepada yth pemda got meluap banjir masuk rumah warga udah setinggi lutut segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ibu hamil mau melahirkan ga ada bidan desanya tidak hadir,kesehatan,sangat_urgen,Dinas Kesehatan
pak warga membuang sampah ke sungai setiap malam mencemari air tolong diperhatikan,kebersihan,urgen,Dinas Lingkungan Hidup
maling motor udah masuk ke perumahan kami 3x dalam sebulan ini,keamanan,urgen,Satuan Polisi Pamong Praja
pengaduan: mesin fotokopi di kantor kelurahan sering rusak tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mas perjudian ilegal beroperasi terang terangan di garasi rumah penduduk sdh kami laporkan berkali kali,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda gorong gorong di bawah jalan tersumbat air meluap ke jalan kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
ada keluhan nih tempat hiburan malam berisik ganggu warga sekitar tiap malam minggu segera ya pak,keamanan,biasa,Satuan Polisi Pamong Praja
taman kota kotor banyak sampah dedaunan kapan diselesaikan,kebersihan,biasa,Dinas Lingkungan Hidup
terimakasih sudah pasang lampu jalan di gang kami tolong cepet ditangani,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
bu petugas apotek puskesmas kurang ramah saat melayani minta tolong banget,kesehatan,biasa,Dinas Kesehatan
bu pos ronda di rt kami dah rusak perlu diperbaiki kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
pasar tradisional sampahnya numpuk bau amis kemana mana,kebersihan,urgen,Dinas Lingkungan Hidup
ruang tunggu kantor pelayanan tidak ada tempat duduk yang cukup,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor jalan depan sekolah retak dalam banget anak anak sering jatuh,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
saluran air kecil di gang agak tersumbat daun segera ya pak,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon air sumur warga berubah warna bau kimia diduga tercemar pabrik minta tolong banget,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk banyak,kebersihan,urgen,Dinas Lingkungan Hidup
kepada yth pemda tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk buanyak,kebersihan,urgen,Dinas Lingkungan Hidup
halo selamat siang gorong gorong jebol jalan ambles dalam banget berbahaya bgt udah lama nih,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
tolong motor trail sering ugal ugalan di jalan kampung ganggu warga kapan ada solusinya,keamanan,biasa,Satuan Polisi Pamong Praja
laporan: bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon info jadwal dokter di puskesmas ga pernah diupdate,kesehatan,biasa,Dinas Kesehatan
halo selamat siang drainase kecil di gang agak kotor perlu dibersihkan harap cepet ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
bu penerangan jalan minim banget malem gelap gulita rawan kejahatan,keamanan,urgen,Satuan Polisi Pamong Praja
tempat pembuangan sampah sementara kelebihan kapasitas meluap warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih pemkot salatiga keren programnya pro rakyat tolong dong,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mohon pencemaran udara dari pabrik bikin warga sesak napas batuk batuk,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda program posyandu di kelurahan kami bagus terus ditingkatkan kami sangat terganggu,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih pak rt kami aktif banget ngurus warga mantap jiwa,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih got kecil di rt kami jarang dibersihkan petugas,kebersihan,biasa,Dinas Lingkungan Hidup
papan nama jalan udah pudar susah dibaca,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: program kb di puskesmas kami terhenti karena kekurangan petugas,kesehatan,urgen,Dinas Kesehatan
limbah b3 dibuang sembarangan di lahan kosong dekat pemukiman,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
selokan penuh sampah plastik air meluap ke jalan tolong diperhatikan,kebersihan,urgen,Dinas Lingkungan Hidup
permisi mau lapor cat jembatan udah kusam perlu dicat ulang tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
bu penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani terima kasih semasih belumnya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada keluhan nih trotoar di jalan retak retak minta tolong banget,infrastruktur,biasa,Dinas Pekerjaan Umum
halo selamat siang selamat pagi pemda semoga makin maju kotanya kami banget terganggu,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda ada pungutan liar di terminal oleh oknum preman warga resah ini,keamanan,urgen,Satuan Polisi Pamong Praja
mbak pak camat kami orangnya ramah dan cepat tanggap,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada orang gila mengamuk bawa parang ancam warga sekitar,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
halo selamat siang jembatan retak parah goyang banget kalo dilewati truk kami bgt terganggu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
kartu keluarga sejahtera kami hilang dari daftar tidak tahu sebabnya kapan diselesaikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halte bus atapnya bocor ujan masuk minta tolong banget,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
halo selamat siang terimakasih pemda sudah perhatikan warga kecil seperti kami warga resah ini,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
bu ruang tunggu kantor pelayanan tidak ada tempat duduk yang cukup sudah kami laporkan berkali kali,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
pak urus izin usaha kecil dipersulit minta biaya yang ga jelas sudah kami laporkan berkali kali,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda pengamen sering minta uang paksa di warung warung mohon ditindak,keamanan,biasa,Satuan Polisi Pamong Praja
mbak lampu di taman kota mati beberapa titik sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
mas jam pelayanan di kantor desa terlalu singkat tutup terlalu cepat kami tunggu tindakannya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo pemda ada bangunan yang cat temboknya jorok mengotori pemandangan sdh kami laporkan berkali kali,keamanan,biasa,Satuan Polisi Pamong Praja
laporan: jalan depan sekolah retak dalam banget anak anak sering jatuh kapan diselesaikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ibu hamil mau melahirkan ga ada bidan desanya tidak hadir mohon perhatiannya,kesehatan,sangat_urgen,Dinas Kesehatan
laporan: jalan provinsi ambrol kena longsor akses kota putus total sdh kami laporkan berkali kali,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
sertifikat tanah saya ga kunjung kelar udah setaun nunggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: wabah dbd menyebar cepet udah 5 orang di rt kami positif tolong cepet ditangani,kesehatan,sangat_urgen,Dinas Kesehatan
mohon papan informasi kesehatan di puskesmas jarang diperbarui segera ya pak,kesehatan,biasa,Dinas Kesehatan
lampu penerangan di jembatan mati gelap berbahaya malam hari minta tolong banget,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih jambret hp terjadi siang hari di jalan ramai pelaku kabur tolong dong,keamanan,urgen,Satuan Polisi Pamong Praja
petugas kelurahan kurang ramah saat melayani warga terima kasih sebelumnya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
selokan penuh sampah plastik air meluap ke jalan,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih got meluap banjir masuk rumah warga udah setinggi lutut kami tunggu tindakannya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
kasus pencurian di komplek kami makin sering ga ada ronda malam harap segera ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
motor trail sering ugal ugalan di jalan kampung ganggu warga,keamanan,biasa,Satuan Polisi Pamong Praja
permisi mau lapor pembuangan sampah ilegal di pinggir sawah menggunung mohon perhatiannya,kebersihan,urgen,Dinas Lingkungan Hidup
bu begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami minta tolong banget,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
laporan: aspal di depan rumah saya mengelupas terima kasih sebelumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
sumber mata air desa kami tercemar limbah berwarna hijau berbau,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
laporan: loket pendaftaran puskesmas prosesnya lama banget,kesehatan,biasa,Dinas Kesehatan
remaja di bawah umur terlibat tawuran bawa celurit ada yang masuk ugd,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mbak info jadwal dokter di puskesmas ga pernah diupdate mohon perhatiannya,kesehatan,biasa,Dinas Kesehatan
permisi mau lapor drainase kecil di gang agak kotor perlu dibersihkan terima kasih seblmnya,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih data penerima bantuan sosial tidak diperbarui masih pakai data lama mohon ditindak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor jam buka puskesmas sering ga sesuai jadwal tolong dong,kesehatan,biasa,Dinas Kesehatan
laporan: knalpot brong di jalanan bikin bising ganggu ketenangan masyarakat kami tunggu tindakannya,keamanan,biasa,Satuan Polisi Pamong Praja
halo selamat siang website kelurahan kami nggak pernah diperbarui informasinya terima kasih seblmnya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mau lapor nih saluran irigasi sawah bocor petani rugi terus,infrastruktur,urgen,Dinas Pekerjaan Umum
jembatan kayu di desa kami lapuk berbahaya kalo dilewati,infrastruktur,urgen,Dinas Pekerjaan Umum
minta tolong program pkh kami dihentikan tanpa pemberitahuan dan alasan yang jelas kami sangat terganggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mbak kartu keluarga sejahtera kami hilang dari daftar enggak tahu sebabnya kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat,kesehatan,sangat_urgen,Dinas Kesehatan
ada kasus meningitis di kampung kami 3 orang udah masuk icu,kesehatan,sangat_urgen,Dinas Kesehatan
halo pemda selokan penuh sampah plastik air meluap ke jalan kami tunggu tindakannya,kebersihan,urgen,Dinas Lingkungan Hidup
mas aspal di depan rumah saya mengelupas kami sangat terganggu,infrastruktur,biasa,Dinas Pekerjaan Umum
halo pemda jalan provinsi ambrol kena longsor akses kota putus total tolong dong,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak ijazah anak ditahan sekolah karena masalah administrasi pembayaran terima kasih sebelumnya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mbak ada pedagang yang jualan di badan jalan bahayain pengendara kapan ada solusinya,keamanan,biasa,Satuan Polisi Pamong Praja
taman kota kotor banyak sampah dedaunan minta tolong banget,kebersihan,biasa,Dinas Lingkungan Hidup
info jadwal dokter di puskesmas ga pernah diupdate,kesehatan,biasa,Dinas Kesehatan
mbak senang lihat kota kami makin rapi dan bersih minta tolong banget,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
bu puskesmas keliling dari dulu tidak beroperasi ke desa kami,kesehatan,urgen,Dinas Kesehatan
pohon besar tumbang nutupin jalan utama total ga bisa dilewati,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
lampu taman di alun alun beberapa yang mati,infrastruktur,biasa,Dinas Pekerjaan Umum
mas tembok penahan tanah jebol longsor ancam rumah warga di bawah sudah kami laporkan berkali kali,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
kepada yth pemda got saluran air di perumahan kami mampet udah sebulan,infrastruktur,urgen,Dinas Pekerjaan Umum
ada kasus meningitis di kampung kami 3 orang udah masuk icu harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
halo pemda tempat pembuangan sampah sementara kelebihan kapasitas meluap tolong dong,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih puskesmas keliling dari dulu tidak beroperasi ke desa kami,kesehatan,urgen,Dinas Kesehatan
mas paving block di trotoar ada beberapa yang copot,infrastruktur,biasa,Dinas Pekerjaan Umum
permisi mau lapor formulir pendaftaran di kelurahan susah didapat mohon ditindak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
pengaduan: sktm buat daftar sekolah ga bisa didapat harus menyogok dulu tolong dong,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat ijazah anak ditahan sekolah karena masalah administrasi pembayaran segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih got meluap banjir masuk rumah warga udah setinggi lutut kami sangat terganggu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
program pkh kami dihentikan tanpa pemberitahuan dan alasan yang jelas,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon pengumuman kegiatan kelurahan sering terlambat disampaikan ke warga,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
papan informasi kesehatan di puskesmas jarang diperbarui,kesehatan,biasa,Dinas Kesehatan
perampok bersenjata masuk ke rumah warga tadi malam,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mohon drainase kecil di gang agak kotor perlu dibersihkan harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih petugas kebersihan jarang masuk ke gang kami,kebersihan,biasa,Dinas Lingkungan Hidup
bu lapak pkl menghalangi akses masuk ke gang perumahan kapan ada solusinya,keamanan,biasa,Satuan Polisi Pamong Praja
tenaga kesehatan di desa kami mengundurkan diri tidak ada penggantinya,kesehatan,urgen,Dinas Kesehatan
halo selamat siang fogging dbd ga pernah dilakukan padahal kasus terus naik tolong diperhatikan,kesehatan,urgen,Dinas Kesehatan
premanisme di pasar makin merajalela pedagang resah,keamanan,urgen,Satuan Polisi Pamong Praja
ada keluhan nih pemkot salatiga keren programnya pro rakyat kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
minta data penerima bantuan sosial tidak diperbarui masih pakai data lama,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
formulir pendaftaran di kelurahan susah didapat,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
dengan hormat loket pendaftaran puskesmas prosesnya lama banget mohon ditindak,kesehatan,biasa,Dinas Kesehatan
begal sering beroperasi di jalan alternatif desa ga ada patroli mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
petugas apotek puskesmas kurang ramah saat melayani,kesehatan,biasa,Dinas Kesehatan
tolong pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar,kesehatan,urgen,Dinas Kesehatan
bu penertiban pkl ga konsisten balik lagi besoknya tolong dong,keamanan,biasa,Satuan Polisi Pamong Praja
ada keluhan nih begal sering beroperasi di jalan alternatif desa ga ada patroli terima kasih sebelumnya,keamanan,urgen,Satuan Polisi Pamong Praja
program kb di puskesmas kami terhenti karena kekurangan petugas,kesehatan,urgen,Dinas Kesehatan
limbah b3 dibuang sembarangan di lahan kosong dekat pemukiman tolong cepet ditangani,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
tempat sampah di halte bus udah penuh perlu dikosongkan mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
lapak pkl menghalangi akses masuk ke gang perumahan tolong dong,keamanan,biasa,Satuan Polisi Pamong Praja
dengan hormat lampu taman di alun alun beberapa yang mati,infrastruktur,biasa,Dinas Pekerjaan Umum
mas selokan penuh sampah plastik air meluap ke jalan segera ya pak,kebersihan,urgen,Dinas Lingkungan Hidup
dana desa ga transparan warga ga tau dipake untuk apa aja,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pak walikota salatiga keren banget programnya bagus terima kasih sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tumpukan sampah di gang belakang makin tinggi ga ada yang angkut tolong cepet ditangani,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih drainase gang depan rumah agak bau perlu dikuras mohon perhatiannya,kebersihan,biasa,Dinas Lingkungan Hidup
tolong polisi tidur di jalan depan sekolah terlalu tinggi harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat kapan ada solusinya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
banjir besar rendam jalan utama setinggi pinggang kendaraan ga bisa lewat tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ijazah anak ditahan sekolah karena masalah administrasi pembayaran tolong diperhatikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih peredaran narkoba terang terangan di dekat sekolah anak anak terancam warga resah ini,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada kasus leptospirosis setelah banjir warga mulai demam tinggi,kesehatan,sangat_urgen,Dinas Kesehatan
mas jalan longsor nutup akses ke 3 desa warga ga bisa kemana mana terima kasih sebelumnya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
kepada yth pemda lampu merah di perempatan rusak rawan kecelakaan segera ya pak,infrastruktur,urgen,Dinas Pekerjaan Umum
minta tolong sumber mata air desa kami tercemar limbah berwarna hijau berbau minta tolong banget,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
permisi mau lapor pasien rujukan ditolak rs tanpa alasan yang jelas segera ya pak,kesehatan,urgen,Dinas Kesehatan
mas begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami minta tolong banget,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
lampu di taman kota mati beberapa titik kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
minta tolong wabah dbd menyebar cepet udah 5 orang di rt kami positif,kesehatan,sangat_urgen,Dinas Kesehatan
dengan hormat selamat hari jadi kota salatiga semoga makin maju kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
bu sumber mata air desa kami tercemar limbah berwarna hijau berbau,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
bu ruangan pelayanan dukcapil kurang nyaman ga ada ac mohon ditindak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
tolong formulir pendaftaran di kelurahan susah didapat tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
bu begal sering beroperasi di jalan alternatif desa ga ada patroli kapan ada solusinya,keamanan,urgen,Satuan Polisi Pamong Praja
halo selamat siang tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: tidak ada wifi di ruang tunggu puskesmas harap segera ada tindakan,kesehatan,biasa,Dinas Kesehatan
rumput di taman kota tumbuh liar perlu dipangkas,kebersihan,biasa,Dinas Lingkungan Hidup
permisi mau lapor sampah berserakan di depan minimarket ga ada yang bersihin mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih paving block di trotoar ada beberapa yang copot sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih ada penembakan di daerah kami warga panik ga berani keluar rumah mohon ditindak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih saluran air besar jebol banjir rendam puluhan rumah warga,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak limbah pabrik dibuang ke kali sumber air minum masyarakat pada mual mual mohon ditindak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
bu nomor antrian di kantor kecamatan sistemnya masih manual kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
pengaduan: taman di pinggir jalan kurang terawat rumputnya tinggi,infrastruktur,biasa,Dinas Pekerjaan Umum
mbak ambulans desa rusak ga bisa dipake warga ada yang sakit parah kami sangat terganggu,kesehatan,sangat_urgen,Dinas Kesehatan
jalan kampung kami masih belum diaspal becek banget kalo ujan,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong ada geng yang terror warga minta uang paksa tiap malam tolong dong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kartu keluarga sejahtera kami hilang dari daftar tidak tahu sebabnya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong halo pak bupati semoga sehat selalu dan sukses terus kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mas ada pembuangan limbah ilegal di dekat sekolah baunya menyengat segera ya pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pak ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat kami tunggu tindakannya,kesehatan,sangat_urgen,Dinas Kesehatan
pak pak walikota salatiga keren banget programnya bagus tolong diperhatikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong rumput di taman kota tumbuh liar perlu dipangkas mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
pengaduan: jalan alternatif satu satunya ke desa kami rusak parah,infrastruktur,urgen,Dinas Pekerjaan Umum
sindikat penipuan online beroperasi di wilayah kami sdh banyak korban kapan ada solusinya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
informasi syarat urus ktp di website ga update tolong cepet ditangani,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mau lapor nih bayi gizi buruk parah di desa kami butuh bantuan segera harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
dengan hormat warga bakar sampah tiap hari asapnya masuk ke rumah ganggu pernapasan kapan diselesaikan,kebersihan,urgen,Dinas Lingkungan Hidup
puskesmas keliling sudah lama tidak beroperasi ke desa kami,kesehatan,urgen,Dinas Kesehatan
bahu jalan agak rusak butuh perbaikan ringan,infrastruktur,biasa,Dinas Pekerjaan Umum
bu penertiban pkl ga konsisten balik lagi besoknya kami tunggu tindakannya,keamanan,biasa,Satuan Polisi Pamong Praja
selamat pagi mau lapor program pkh kami dihentikan tanpa pemberitahuan dan alasan yang jelas harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat limbah b3 dibuang sembarangan di lahan kosong dekat pemukiman,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
dengan hormat reklame ilegal banyak dipasang di pohon pohon jalan minta perhatiannya,keamanan,biasa,Satuan Polisi Pamong Praja
ada bangunan yang cat temboknya jorok mengotori pemandangan,keamanan,biasa,Satuan Polisi Pamong Praja
mohon pak camat kami orangnya ramah dan cepat tanggap kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih tumpukan sampah di gang belakang makin tinggi ga ada yang angkut tolong cepet ditangani,kebersihan,urgen,Dinas Lingkungan Hidup
ada keluhan nih papan nama jalan udah pudar susah dibaca kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
bu bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat mohon perhatiannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat ada pengedar narkoba di lingkungan kami udah lapor tapi masih belum ada tindakan kapan ada solusinya,keamanan,urgen,Satuan Polisi Pamong Praja
pak permohonan keringanan pajak sudah diajukan 3 bulan tidak ada respons tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong warga banyak sesak napas akibat polusi pabrik terdekat warga resah ini,kesehatan,sangat_urgen,Dinas Kesehatan
got kecil di depan rumah agak mampet kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
selamat pagi mau lapor selamat hari jadi kota salatiga semoga makin maju mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang fogging dbd ga pernah dilakukan padahal kasus terus naik,kesehatan,urgen,Dinas Kesehatan
pak perampok bersenjata masuk ke rumah warga tadi malam,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
minta tolong bahu jalan agak rusak butuh perbaikan ringan mohon perhatiannya,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih halo pak bupati semoga sehat selalu dan sukses terus kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat dokter puskesmas sering bolos pasien numpuk ga ada yang meriksa,kesehatan,urgen,Dinas Kesehatan
banjir besar rendam jalan utama setinggi pinggang kendaraan ga bisa lewat,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mau lapor nih ibu hamil di desa kami susah akses bidan jaraknya jauh banget,kesehatan,urgen,Dinas Kesehatan
