teks_bersih,kategori,urgensi,instansi
ktp saya udah 5 bulan belum jadi padahal semua syarat udah lengkap,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih air pdam berasa aneh bau ga layak minum segera ya pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
rel kereta ga ada pagarnya udah ada yang ketabrak minggu lalu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak konflik warga udah berlangsung lama belum ada penyelesaian dari aparat udah lama nih,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda konflik warga udah berlangsung lama blm ada penyelesaian dari aparat udah lama nih,keamanan,urgen,Satuan Polisi Pamong Praja
pelayanan puskesmas kurang ramah perawatnya galak udah lama nih,kesehatan,biasa,Dinas Kesehatan
keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
tolong tempat parkir rs daerah kurang luas sering penuh tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
informasi syarat urus ktp di website ga update minta tolong banget,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo pemda kasus pencurian di komplek kami makin sering ga ada ronda,keamanan,urgen,Satuan Polisi Pamong Praja
sampah di tps udah meluber ke jalan bau banget lalat dimana mana,kebersihan,urgen,Dinas Lingkungan Hidup
bu jam buka puskesmas sering ga sesuai jadwal tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
ibu hamil di desa kami susah akses bidan jaraknya jauh banget,kesehatan,urgen,Dinas Kesehatan
laporan: trotoar depan pasar rusak parah orang sering kesandung kami banget terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
halo pemda saluran irigasi sawah bocor petani rugi terus,infrastruktur,urgen,Dinas Pekerjaan Umum
sampah di tps udah meluber ke jalan bau banget lalat dimana mana harap segera ada tindakan,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih taman kota kotor banyak sampah dedaunan,kebersihan,biasa,Dinas Lingkungan Hidup
halo pemda premanisme di pasar makin merajalela pedagang resah segera ya pak,keamanan,urgen,Satuan Polisi Pamong Praja
akta kelahiran anak susah banget diurusnya syaratnya berbelit belit,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon rel kereta ga ada pagarnya udah ada yang ketabrak minggu lalu tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
bu sampah di tps udah meluber ke jalan bau banget lalat dimana mana tolong cepet ditangani,kebersihan,urgen,Dinas Lingkungan Hidup
pengaduan: ruang tunggu puskesmas sempit dan panas ga ada kipas angin harap segera ada tindakan,kesehatan,biasa,Dinas Kesehatan
pengaduan: imunisasi anak di kelurahan kami ga jalan udah berbulan bulan minta tolong banget,kesehatan,urgen,Dinas Kesehatan
halo pemda ada pungutan liar di terminal oleh oknum preman udah lama nih,keamanan,urgen,Satuan Polisi Pamong Praja
tolong info jadwal dokter di puskesmas ga pernah diupdate segera ya pak,kesehatan,biasa,Dinas Kesehatan
mohon ada pembunuhan di kampung kami semalam pelaku masih berkeliaran warga takut kami sangat terganggu,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
jalan berlubang gede di depan sekolah udah ada yang jatuh,infrastruktur,urgen,Dinas Pekerjaan Umum
saluran air kecil di gang agak tersumbat daun,infrastruktur,biasa,Dinas Pekerjaan Umum
pak ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat segera ya pak,kesehatan,sangat_urgen,Dinas Kesehatan
pak urus izin usaha kecil dipersulit minta biaya yang ga jelas kami sangat terganggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pak tempat sampah di halte bus udah penuh perlu dikosongkan udah lama nih,kebersihan,biasa,Dinas Lingkungan Hidup
pak saluran irigasi sawah bocor petani rugi terus kapan diselesaikan,infrastruktur,urgen,Dinas Pekerjaan Umum
jembatan di desa kami putus total udah ga bisa dilewati sama sekali kami sangat terganggu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ambulans desa rusak ga bisa dipake warga ada yang sakit parah,kesehatan,sangat_urgen,Dinas Kesehatan
bu warga banyak sesak napas akibat polusi pabrik terdekat harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
mohon pak walikota salatiga keren banget programnya bagus harap segera ada tindakan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
drainase mampet banjir tiap hujan deras,infrastruktur,urgen,Dinas Pekerjaan Umum
knalpot brong di jalanan bikin bising ganggu ketenangan warga,keamanan,biasa,Satuan Polisi Pamong Praja
halo pemda makasih ya udah benerin jalan di depan rumah kami kapan diselesaikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
laporan: ada beberapa warga yang buang sampah sembarangan di pinggir jalan minta tolong banget,kebersihan,biasa,Dinas Lingkungan Hidup
bu ambulans desa rusak ga bisa dipake warga ada yang sakit parah udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
jambret hp terjadi siang hari di jalan ramai pelaku kabur,keamanan,urgen,Satuan Polisi Pamong Praja
pak selamat pagi pemda semoga makin maju kotanya udah lama nih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak got kecil di depan rumah agak mampet minta tolong banget,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: warga bakar sampah tiap hari asapnya masuk ke rumah ganggu pernapasan harap segera ada tindakan,kebersihan,urgen,Dinas Lingkungan Hidup
tempat hiburan malam berisik ganggu warga sekitar tiap malam minggu,keamanan,biasa,Satuan Polisi Pamong Praja
bu mantep deh pemda udah cepet nanggepin keluhan warga minta tolong banget,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak got besar penuh sampah plastik banjir kalo ujan segera ya pak,kebersihan,urgen,Dinas Lingkungan Hidup
lampu taman di alun alun beberapa yang mati tolong cepet ditangani,infrastruktur,biasa,Dinas Pekerjaan Umum
rambu lalu lintas di tikungan tajam hilang ga ada gantinya,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih cat jembatan udah kusam perlu dicat ulang,infrastruktur,biasa,Dinas Pekerjaan Umum
bayi gizi buruk parah di desa kami butuh bantuan segera,kesehatan,sangat_urgen,Dinas Kesehatan
halo pemda formulir pendaftaran di kelurahan susah didapat,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
tolong sampah medis bekas jarum suntik berserakan di taman bermain anak tolong cepet ditangani,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
halo pemda lampu merah di perempatan rusak rawan kecelakaan udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
dana desa ga transparan warga ga tau dipake untuk apa aja segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong got kecil di depan rumah agak mampet,infrastruktur,biasa,Dinas Pekerjaan Umum
halo pemda pohon besar tumbang nutupin jalan utama ga bisa dilewati segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
jalan kampung kami belum diaspal becek banget kalo ujan,infrastruktur,urgen,Dinas Pekerjaan Umum
pak dana desa ga transparan warga ga tau dipake untuk apa aja,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada kelompok yang sering bikin keributan di malam hari ganggu warga kami bgt terganggu,keamanan,urgen,Satuan Polisi Pamong Praja
pak keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs mohon ditindak,kesehatan,sangat_urgen,Dinas Kesehatan
jalan di komplek ada yang berlubang kecil,infrastruktur,biasa,Dinas Pekerjaan Umum
bu papan pengumuman di kantor kelurahan jarang diupdate,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
laporan: tempat parkir rs daerah kurang luas sering penuh tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
halo pemda ada kasus meningitis di kampung kami 3 orang udah masuk icu kami sangat terganggu,kesehatan,sangat_urgen,Dinas Kesehatan
laporan: puskesmas pembantu tutup ga ada tenaga kesehatan sama sekali,kesehatan,urgen,Dinas Kesehatan
fasilitas toilet di puskesmas kurang bersih,kesehatan,biasa,Dinas Kesehatan
jalan di komplek ada yang berlubang kecil udah lama nih,infrastruktur,biasa,Dinas Pekerjaan Umum
tempat parkir rs daerah kurang luas sering penuh tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
pengaduan: jalan amblas dalem banget motor aku sampe jatuh tadi malem,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ruang tunggu puskesmas sempit dan panas ga ada kipas angin segera ya pak,kesehatan,biasa,Dinas Kesehatan
halo pemda ada pembunuhan di kampung kami semalam pelaku masih berkeliaran warga takut minta tolong banget,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
tolong klinik desa ga ada dokter tetap cuma ada perawat udah lama nih,kesehatan,urgen,Dinas Kesehatan
halo pemda bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
lampu taman di alun alun beberapa yang mati,infrastruktur,biasa,Dinas Pekerjaan Umum
truk sampah ga pernah dateng ke rt kami udah 2 minggu numpuk,kebersihan,urgen,Dinas Lingkungan Hidup
bu got kecil di depan rumah agak mampet,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih ruang tunggu puskesmas sempit dan panas ga ada kipas angin minta tolong banget,kesehatan,biasa,Dinas Kesehatan
pengaduan: warga buanyak sesak napas akibat polusi pabrik terdekat segera ya pak,kesehatan,sangat_urgen,Dinas Kesehatan
mohon pohon besar tumbang nutupin jalan utama ga bisa dilewati kapan diselesaikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
bu jalan desa kami berlubang-lubang parah apalagi musim hujan kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: jam buka puskesmas sering ga sesuai jadwal,kesehatan,biasa,Dinas Kesehatan
bu jalan berlubang gede di depan sekolah udah ada yang jatuh kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
pak ada pembuangan limbah ilegal di dekat sekolah baunya menyengat udah lama nih,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
wabah dbd menyebar cepet udah 5 orang di rt kami positif kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
dana desa ga transparan warga ga tau dipake untuk apa aja,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
jalan longsor nutup akses ke 3 desa warga ga bisa kemana mana tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pengaduan: selokan penuh sampah plastik air meluap ke jalan,kebersihan,urgen,Dinas Lingkungan Hidup
mohon tempat hiburan malam berisik ganggu warga sekitar tiap malam minggu udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
laporan: pasien kritis ditolak igd rs daerah katanya penuh padahal darurat kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
mohon ibu hamil mau melahirkan ga ada bidan desanya ga hadir segera ya pak,kesehatan,sangat_urgen,Dinas Kesehatan
aspal di depan rumah saya mengelupas,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: trotoar depan pasar rusak parah orang sering kesandung mohon ditindak,infrastruktur,urgen,Dinas Pekerjaan Umum
lampu jalan di gang kami mati udah 2 minggu gelap bgt malem segera ya pak,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
formulir pendaftaran di kelurahan susah didapat,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
laporan: pemkot salatiga keren programnya pro rakyat,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong lingkungan rt kurang bersih perlu kerja bakti harap segera ada tindakan,kebersihan,biasa,Dinas Lingkungan Hidup
mau lapor nih tempat sampah di taman rusak perlu diganti harap segera ada tindakan,kebersihan,biasa,Dinas Lingkungan Hidup
laporan: pasien rujukan ditolak rs tanpa alasan yang jelas kami sangat terganggu,kesehatan,urgen,Dinas Kesehatan
obat obatan di puskesmas sering kosong pasien disuruh beli sendiri minta tolong banget,kesehatan,urgen,Dinas Kesehatan
tolong tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas kami sangat terganggu,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
jembatan gantung mau putus nih kabelnya udah pada karatan mohon ditindak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
tempat sampah di halte bus udah penuh perlu dikosongkan,kebersihan,biasa,Dinas Lingkungan Hidup
bank sampah di kelurahan kami ga jalan mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
terimakasih sudah mengadakan kegiatan bersih bersih di lingkungan kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
trotoar depan pasar rusak parah orang sering kesandung harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: truk sampah ga pernah dateng ke rt kami udah 2 minggu numpuk harap segera ada tindakan,kebersihan,urgen,Dinas Lingkungan Hidup
pelayanan puskesmas kurang ramah perawatnya galak mohon ditindak,kesehatan,biasa,Dinas Kesehatan
pengaduan: got meluap banjir masuk rumah warga udah setinggi lutut mohon ditindak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
got besar penuh sampah plastik banjir kalo ujan,kebersihan,urgen,Dinas Lingkungan Hidup
mohon penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani harap segera ada tindakan,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bu informasi syarat urus ktp di website ga update segera ya pak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo pemda selamat pagi pemda semoga makin maju kotanya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: sampah medis bekas jarum suntik berserakan di taman bermain anak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
lingkungan kami sekarang udah bersih makasih petugas kebersihan harap segera ada tindakan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk banyak,kebersihan,urgen,Dinas Lingkungan Hidup
ada ancaman bom di pasar warga pada lari,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pak kk kami salah data nama anak ketuker udah lapor berkali kali ga diperbaiki tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
antrian puskesmas ga teratur pasien lansia berdiri berjam jam kapan diselesaikan,kesehatan,urgen,Dinas Kesehatan
mohon begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami kami sangat terganggu,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih wabah dbd menyebar cepet udah 5 orang di rt kami positif,kesehatan,sangat_urgen,Dinas Kesehatan
dokter puskesmas sering bolos pasien numpuk ga ada yang meriksa kapan diselesaikan,kesehatan,urgen,Dinas Kesehatan
tempat parkir rs daerah kurang luas sering penuh,kesehatan,biasa,Dinas Kesehatan
pak air sumur warga berubah warna bau kimia diduga tercemar pabrik,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
sktm buat daftar sekolah ga bisa didapat harus nyogok dulu mohon ditindak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
remaja di bawah umur terlibat tawuran bawa celurit ada yang masuk ugd udah lama nih,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
urus izin usaha kecil dipersulit minta biaya yang ga jelas harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tumpukan sampah di gang belakang makin tinggi ga ada yang angkut mohon ditindak,kebersihan,urgen,Dinas Lingkungan Hidup
halo pemda jalan di komplek ada yang berlubang kecil harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih sampah di tps udah meluber ke jalan bau banget lalat dimana mana kami sangat terganggu,kebersihan,urgen,Dinas Lingkungan Hidup
mohon kasus pencurian di komplek kami makin sering ga ada ronda segera ya pak,keamanan,urgen,Satuan Polisi Pamong Praja
bu saluran air kecil di gang agak tersumbat daun,infrastruktur,biasa,Dinas Pekerjaan Umum
pengaduan: fasilitas toilet di puskesmas kurang bersih tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
maling motor udah masuk ke perumahan kami 3x dalam sebulan ini,keamanan,urgen,Satuan Polisi Pamong Praja
lingkungan kami sekarang udah bersih makasih petugas kebersihan mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar kami sangat terganggu,kesehatan,urgen,Dinas Kesehatan
halo pemda sampah plastik banyak berserakan di pinggir kali kapan diselesaikan,kebersihan,biasa,Dinas Lingkungan Hidup
ada kasus meningitis di kampung kami 3 orang udah masuk icu kami sangat terganggu,kesehatan,sangat_urgen,Dinas Kesehatan
mau lapor nih tempat parkir rs daerah kurang luas sering penuh kapan diselesaikan,kesehatan,biasa,Dinas Kesehatan
penerangan jalan umum di jalan protokol banyak yang mati,infrastruktur,urgen,Dinas Pekerjaan Umum
pak aspal di depan rumah saya mengelupas udah lama nih,infrastruktur,biasa,Dinas Pekerjaan Umum
ada pengedar narkoba di lingkungan kami udah lapor tapi belum ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
tolong wabah diare menyebar di desa kami udah 20 orang kena termasuk balita kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
mohon begal sering beroperasi di jalan alternatif desa ga ada patroli,keamanan,urgen,Satuan Polisi Pamong Praja
ada pungutan liar di terminal oleh oknum preman,keamanan,urgen,Satuan Polisi Pamong Praja
pengaduan: rambu lalu lintas di tikungan tajam hilang ga ada gantinya,infrastruktur,urgen,Dinas Pekerjaan Umum
halo pemda jalan amblas dalem banget motor aku sampe jatuh tadi malem minta tolong banget,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak got depan rumah mampet banjir kecil tiap hujan segera ya pak,infrastruktur,urgen,Dinas Pekerjaan Umum
pak akta kelahiran anak susah banget diurusnya syaratnya berbelit belit harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ibu hamil mau melahirkan ga ada bidan desanya ga hadir mohon ditindak,kesehatan,sangat_urgen,Dinas Kesehatan
halo pemda ada pengedar narkoba di lingkungan kami udah lapor tapi belum ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda pengajuan beasiswa ga diproses padahal syarat lengkap dan nilai bagus tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: klinik desa ga ada dokter tetap cuma ada perawat harap segera ada tindakan,kesehatan,urgen,Dinas Kesehatan
penertiban pkl ga konsisten balik lagi besoknya,keamanan,biasa,Satuan Polisi Pamong Praja
bu begal sering beroperasi di jalan alternatif desa ga ada patroli minta tolong banget,keamanan,urgen,Satuan Polisi Pamong Praja
papan nama jalan udah pudar susah dibaca,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon got meluap banjir masuk rumah warga udah setinggi lutut,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
