teks_bersih,kategori,urgensi,instansi
pompa air irigasi rusak sawah warga kekeringan,infrastruktur,urgen,Dinas Pekerjaan Umum
kartu indonesia pintar anak saya ga cair padahal memenuhi syarat mohon perhatiannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih jalan masuk komplek rusak parah susah dilalui motor sudah kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
formulir pendaftaran di kelurahan susah didapat,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor ada pengedar narkoba di lingkungan kami udah lapor tapi masih belum ada tindakan tolong dong,keamanan,urgen,Satuan Polisi Pamong Praja
minta tolong motor trail sering ugal ugalan di jalan kampung ganggu warga tolong diperhatikan,keamanan,biasa,Satuan Polisi Pamong Praja
halo selamat siang loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat mohon ditindak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih peredaran narkoba terang terangan di dekat sekolah anak anak terancam warga resah ini,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
permisi mau lapor got kecil di depan rumah agak mampet kapan ada solusinya,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon twrn pke clurit ada korban msuk ugd minta tolong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kepada yth pemda senang lihat kota kami makin rapi dan bersih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor drainase mampet banjir tiap hujan deras harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
tng lstrk mau rbh pke phn rwan bgt,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
dengan hormat dokter puskesmas sering bolos pasien numpuk ga ada yang meriksa,kesehatan,urgen,Dinas Kesehatan
mohon geng terror wrg minta duit tiap mlm,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bansos ga tepat sasaran tetangga mampu dapat saya yang susah malah tidak dapat kami sangat terganggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
jalan cor beton kampung kami retak dan ambles di beberapa titik,infrastruktur,urgen,Dinas Pekerjaan Umum
minta tolong pelaku kekerasan dalam rumah tangga kabur setelah menyerang korban parah tolong cepet ditangani,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: ikan ikan di sungai mati massal diduga kena limbah pabrik mohon perhatiannya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon pengamen sering minta uang paksa di warung warung mohon perhatiannya,keamanan,biasa,Satuan Polisi Pamong Praja
mbak ada pungutan liar di terminal oleh oknum preman sudah kami laporkan berkali kali,keamanan,urgen,Satuan Polisi Pamong Praja
mbak ijazah anak ditahan sekolah karena masalah administrasi pembayaran,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
laporan: halo pak bupati semoga sehat selalu dan sukses terus kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor obat obatan di puskesmas sering kosong pasien disuruh beli sendiri mohon perhatiannya,kesehatan,urgen,Dinas Kesehatan
akta kelahiran anak susah banget diurusnya syaratnya berbelit belit sudah kami laporkan berkali kali,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong ada pembuangan limbah ilegal di dekat sekolah baunya menyengat kapan diselesaikan,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada keluhan nih kartu keluarga sejahtera kami hilang dari daftar tidak tahu sebabnya kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
terimakasih pemda sudah perhatikan warga kecil seperti kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak air sumur warga berubah warna bau kimia diduga tercemar pabrik kami tunggu tindakannya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pengaduan: got depan pasar tersumbat sampah banjir pas hujan,kebersihan,urgen,Dinas Lingkungan Hidup
mbak ada bangunan yang cat temboknya jorok mengotori pemandangan mohon ditindak,keamanan,biasa,Satuan Polisi Pamong Praja
halte bus atapnya bocor ujan masuk harap buru buru ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
pengaduan: tumpukan sampah terbakar asapnya tebal masuk ke rumah penduduk sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pak talud sungai retak retak rawan jebol saat banjir kapan ada solusinya,infrastruktur,urgen,Dinas Pekerjaan Umum
laporan: stok vaksin di puskesmas habis imunisasi bayi tertunda udah lama nih,kesehatan,urgen,Dinas Kesehatan
mau lapor nih pemkot salatiga keren programnya pro rakyat tolong dong,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong got depan rumah mampet banjir kecil tiap hujan tolong dong,infrastruktur,urgen,Dinas Pekerjaan Umum
ikan ikan di sungai mati massal diduga kena limbah pabrik,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
kamar mandi puskesmas sering tidak ada airnya,kesehatan,biasa,Dinas Kesehatan
kepada yth pemda informasi syarat urus ktp di website ga update kapan diselesaikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
pemkot salatiga keren programnya pro rakyat,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
paving block di trotoar ada beberapa yang copot,infrastruktur,biasa,Dinas Pekerjaan Umum
kepada yth pemda jalan di komplek ada yang berlubang kecil tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
selamat pagi mau lapor program pkh kami dihentikan tanpa pemberitahuan dan alasan yang jelas harap segera ada tindakan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor jam buka puskesmas sering ga sesuai jadwal tolong dong,kesehatan,biasa,Dinas Kesehatan
minta tolong pohon besar tumbang nutupin jalan utama total ga bisa dilewati,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada yang buang bangkai hewan di lahan kosong bau busuk minta ampun minta tolong banget,kebersihan,urgen,Dinas Lingkungan Hidup
sampah daun di depan rumah belum disapu petugas,kebersihan,biasa,Dinas Lingkungan Hidup
bu taman bermain anak kotor banyak sampah plastik,kebersihan,biasa,Dinas Lingkungan Hidup
tolong cat marka jalan udah pudar ga keliatan minta ditindak,infrastruktur,biasa,Dinas Pekerjaan Umum
krcunan masal kntin sklh bnyk anak mth,kesehatan,sangat_urgen,Dinas Kesehatan
mohon ruang tunggu puskesmas sempit dan panas ga ada kipas angin warga resah ini,kesehatan,biasa,Dinas Kesehatan
permisi mau lapor selamat hari jadi kota salatiga semoga makin maju mohon perhatiannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih ikan ikan di sungai mati massal diduga kena limbah pabrik minta tolong banget,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mas sampah daun di depan rumah belum disapu petugas,kebersihan,biasa,Dinas Lingkungan Hidup
mas paving block di trotoar ada beberapa yang copot,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih asap pabrik hitam pekat setiap hari ganggu warga sekitar warga resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
jalan masuk komplek rusak parah susah dilalui motor segera ya pak,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: taman di pinggir jalan kurang terawat rumputnya tinggi,infrastruktur,biasa,Dinas Pekerjaan Umum
bu nomor antrian di kantor kecamatan sistemnya masih manual kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
fogging dbd ga pernah dilakukan padahal kasus terus naik,kesehatan,urgen,Dinas Kesehatan
mau lapor nih bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang terimakasih pemda sudah perhatikan warga kecil seperti kami warga resah ini,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
permohonan keringanan pajak sudah diajukan 3 bulan tidak ada respons mohon perhatiannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada kelompok yang sering bikin keributan di malam hari ganggu warga,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda ada bangunan yang cat temboknya jorok mengotori pemandangan sdh kami laporkan berkali kali,keamanan,biasa,Satuan Polisi Pamong Praja
jalan amblas dalam banget motor aku sampe jatuh tadi malem,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
kepada yth pemda data kependudukan saya masih salah di sistem setelah berkali kali lapor tolong dong,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat,kesehatan,sangat_urgen,Dinas Kesehatan
permisi mau lapor got depan rumah agak kotor perlu dikuras terima kasih sebelumnya,kebersihan,biasa,Dinas Lingkungan Hidup
halo pemda perjudian ilegal beroperasi terang terangan di garasi rumah warga tolong cepet ditangani,keamanan,urgen,Satuan Polisi Pamong Praja
pengaduan: jalan alternatif satu satunya ke desa kami rusak parah kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih warga membuang sampah ke sungai setiap malam mencemari air terima kasih sebelumnya,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih puskesmas keliling dari dulu tidak beroperasi ke desa kami,kesehatan,urgen,Dinas Kesehatan
wbh diare 20org kna trmsk bayi,kesehatan,sangat_urgen,Dinas Kesehatan
bu lapak pkl menghalangi akses masuk ke gang perumahan kapan ada solusinya,keamanan,biasa,Satuan Polisi Pamong Praja
minta tolong pengurusan izin mendirikan bangunan sudah setahun nggak selesai tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda jam buka puskesmas sering ga sesuai jadwal udah lama nih,kesehatan,biasa,Dinas Kesehatan
dengan hormat pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar warga resah ini,kesehatan,urgen,Dinas Kesehatan
permisi mau lapor tempat sampah di depan kantor kelurahan jarang dikosongkan mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
mohon pengajuan beasiswa ga diproses padahal syarat lengkap dan nilai bagus minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
kartu keluarga sejahtera kami hilang dari daftar tidak tahu sebabnya kapan diselesaikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
cat jembatan udah kusam perlu dicat ulang kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
mas penerangan jalan minim banget malem gelap gulita rawan kejahatan mohon perhatiannya,keamanan,urgen,Satuan Polisi Pamong Praja
mas parkir liar di depan toko halangi pejalan kaki tolong dong,keamanan,biasa,Satuan Polisi Pamong Praja
tolong penerangan jalan minim banget malem gelap gulita rawan kejahatan kami tunggu tindakannya,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda taman bermain anak kotor bejibun sampah plastik kami sangat terganggu,kebersihan,biasa,Dinas Lingkungan Hidup
surat keterangan domisili dipersulit minta syarat yang tidak masuk akal kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mbak ada kelompok yang sering bikin keributan di malam hari ganggu warga kapan diselesaikan,keamanan,urgen,Satuan Polisi Pamong Praja
laporan: org gila ngmk pke prng ancam wrg segera pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
tolong tawuran pakai senjata tajam ada korban luka parah butuh penanganan buru buru,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kepada yth pemda ada kelompok yang sering bikin keributan di malam hari ganggu warga terima kasih semasih belumnya,keamanan,urgen,Satuan Polisi Pamong Praja
pak sampah berserakan di depan minimarket ga ada yang bersihin kami tunggu tindakannya,kebersihan,biasa,Dinas Lingkungan Hidup
program posyandu di kelurahan kami bagus terus ditingkatkan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
bu ada pengedar narkoba di lingkungan kami udah lapor tapi belum ada tindakan sudah kami laporkan berkali kali,keamanan,urgen,Satuan Polisi Pamong Praja
imunisasi anak di kelurahan kami ga jalan udah berbulan bulan harap segera ada tindakan,kesehatan,urgen,Dinas Kesehatan
keracunan air minum warga dari pdam buanyak yang mual muntah warga resah ini,kesehatan,sangat_urgen,Dinas Kesehatan
halo pemda petugas apotek puskesmas kurang ramah saat melayani warga resah ini,kesehatan,biasa,Dinas Kesehatan
ada geng yang terror warga minta uang paksa tiap malam,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
ada keluhan nih limbah b3 dibuang sembarangan di lahan kosong dekat pemukiman tolong cepet ditangani,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
permisi mau lapor penerangan di lorong puskesmas kurang terang tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
pak got besar penuh sampah plastik banjir kalo ujan minta tolong banget,kebersihan,urgen,Dinas Lingkungan Hidup
mau lapor nih petugas apotek puskesmas kurang ramah saat melayani udah lama nih,kesehatan,biasa,Dinas Kesehatan
mas begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami minta tolong banget,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih bayi gizi buruk parah di desa kami butuh bantuan segera harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
minta tolong peredaran narkoba terang terangan di dekat sekolah anak anak terancam,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kepada yth pemda bangunan liar di lahan fasilitas umum ga ada penertiban udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
tolong saluran air besar jebol banjir rendam puluhan rumah warga terima kasih sebelumnya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mau lapor nih nomor antrian di kantor kecamatan sistemnya masih manual tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mbak trotoar di jalan retak retak terima kasih sebelumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
jalan desa berlubang lubang parah apalagi musim hujan udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
kepada yth pemda wabah campak menyebar di sekolah dasar puluhan anak kena,kesehatan,sangat_urgen,Dinas Kesehatan
penerangan di lorong puskesmas kurang terang,kesehatan,biasa,Dinas Kesehatan
laporan: pelayanan puskesmas kurang ramah perawatnya galak kami tunggu tindakannya,kesehatan,biasa,Dinas Kesehatan
mas program posyandu di kelurahan kami bagus terus ditingkatkan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih parkir liar di depan toko halangi pejalan kaki minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
papan pengumuman di kantor kelurahan jarang diupdate kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
warga banyak sesak napas akibat polusi pabrik terdekat,kesehatan,sangat_urgen,Dinas Kesehatan
laporan: bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
laporan: keracunan air minum warga dari pdam banyak yang mual muntah harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
antrian puskesmas ga teratur pasien lansia berdiri berjam jam sudah kami laporkan berkali kali,kesehatan,urgen,Dinas Kesehatan
kepada yth pemda sampah plastik banyak berserakan di pinggir kali,kebersihan,biasa,Dinas Lingkungan Hidup
mau lapor nih sndikat pnipuan udh bnyk korban di sni minta tolong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih ibu hamil mau melahirkan ga ada bidan desanya tidak hadir kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
dengan hormat paving block di trotoar ada beberapa yang copot minta tolong banget,infrastruktur,biasa,Dinas Pekerjaan Umum
bu tumpukan sampah di gang belakang makin tinggi ga ada yang angkut kami sangat terganggu,kebersihan,urgen,Dinas Lingkungan Hidup
mohon bnj msk rmh udh stinggi ltt,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mbak senang lihat kota kami makin rapi dan bersih minta tolong banget,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ijazah anak ditahan sekolah karena masalah administrasi pembayaran,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tolong jmbtn gntg mau pts kbl kratan tolong cepet,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
tolong bahu jalan agak rusak butuh perbaikan ringan minta ditindak,infrastruktur,biasa,Dinas Pekerjaan Umum
bu begal sering beroperasi di jalan alternatif desa ga ada patroli kapan ada solusinya,keamanan,urgen,Satuan Polisi Pamong Praja
kepada yth pemda pengurusan izin mendirikan bangunan sudah setahun gak selesai udah lama nih,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih ada pembunuhan di kampung kami semalam pelaku masih berkeliaran masyarakat takut kapan diselesaikan,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
kepada yth pemda nomor antrian di kantor kecamatan sistemnya masih manual warga resah ini,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
phn bsr tmbng tttp jln utama ttl segera pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ibu hamil mau melahirkan ga ada bidan desanya tidak hadir mohon perhatiannya,kesehatan,sangat_urgen,Dinas Kesehatan
minta tolong nomor telepon kantor kecamatan susah dihubungi segera ya pak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mau lapor nih begal rampas motor ibu ibu td pagi di jln gatot sub pelaku kabur minta tolong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih lngsoran ttp akses 3 dsa wrg ga bs kmn,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mau lapor nih parkir liar di depan toko halangi pejalan kaki kami sangat terganggu,keamanan,biasa,Satuan Polisi Pamong Praja
mohon fasilitas toilet di puskesmas kurang bersih tolong dong,kesehatan,biasa,Dinas Kesehatan
ruangan pelayanan dukcapil kurang nyaman ga ada ac,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda makasih ya udah benerin jalan di depan rumah kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong fasilitas toilet di puskesmas kurang bersih sudah kami laporkan berkali kali,kesehatan,biasa,Dinas Kesehatan
pak kamar mandi puskesmas sering tidak ada airnya tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
pak pelayanan kelurahan kami udah membaik lebih cepat dari sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih aspal di depan rumah saya mengelupas,infrastruktur,biasa,Dinas Pekerjaan Umum
pak org gila ngmk pke prng ancam wrg,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
petugas kelurahan sering ga ada di tempat pas jam kerja,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mau lapor nih lmbh kmia ngalir ke swh tnaman mati segera pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada keluhan nih saluran air kecil di gang agak tersumbat daun sudah kami laporkan berkali kali,infrastruktur,biasa,Dinas Pekerjaan Umum
ada oknum yang sering mengintai rumah warga di malam hari mencurigakan,keamanan,urgen,Satuan Polisi Pamong Praja
tolong got besar penuh sampah plastik banjir kalo ujan,kebersihan,urgen,Dinas Lingkungan Hidup
air sumur warga berubah warna bau kimia diduga tercemar pabrik,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
dengan hormat warga bakar sampah tiap hari asapnya masuk ke rumah ganggu pernapasan kapan diselesaikan,kebersihan,urgen,Dinas Lingkungan Hidup
mas tempat hiburan malam berisik ganggu warga sekitar tiap malam minggu terima kasih sebelumnya,keamanan,biasa,Satuan Polisi Pamong Praja
mbak sungai butek item bau penduduk banyak yang kena penyakit kulit udah lama nih,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon tembok penahan tanah jebol longsor ancam rumah warga di bawah kami sangat terganggu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak pembuangan sampah ilegal di pinggir sawah menggunung sdh kami laporkan berkali kali,kebersihan,urgen,Dinas Lingkungan Hidup
papan informasi kesehatan di puskesmas jarang diperbarui tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
halo selamat siang keracunan air minum warga dari pdam banyak yang mual muntah kapan diselesaikan,kesehatan,sangat_urgen,Dinas Kesehatan
jalan depan sekolah retak dalam banget anak anak sering jatuh,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
laporan: peredaran narkoba terang terangan di dekat sekolah anak anak terancam terima kasih sebelumnya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: jalan di komplek ada yang berlubang kecil,infrastruktur,biasa,Dinas Pekerjaan Umum
konflik warga udah berlangsung lama belum ada penyelesaian dari aparat mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
rmj bwh umur tawuran bawa snjata,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih peredaran minuman keras ilegal di warung warung sekitar makin marak minta ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
dengan hormat selokan penuh sampah plastik air meluap ke jalan mohon ditindak,kebersihan,urgen,Dinas Lingkungan Hidup
